device,file,segment,len_bytes,note
iP11Pro,Text-03-bug-type-288-2025-0611-223013.docx,head,10347,40-width config applied (meta)
iP11Pro,Text-03-bug-type-288-2025-0611-223013.docx,mid,10347,40-width config applied (meta)
iP11Pro,Text-03-bug-type-288-2025-0611-223013.docx,tail,10347,40-width config applied (meta)
iP11Pro,Text-07- bug-type-288-2025-0611.docx,head,8679,40-width config applied (meta)
iP11Pro,Text-07- bug-type-288-2025-0611.docx,mid,8679,40-width config applied (meta)
iP11Pro,Text-07- bug-type-288-2025-0611.docx,tail,8679,40-width config applied (meta)
iP11Pro,Text-08-bug-type-288-2025-0611.docx,head,8861,40-width config applied (meta)
iP11Pro,Text-08-bug-type-288-2025-0611.docx,mid,8861,40-width config applied (meta)
iP11Pro,Text-08-bug-type-288-2025-0611.docx,tail,8861,40-width config applied (meta)
iP11Pro,Text-09-bug-type-288-2025-0611.docx,head,8207,40-width config applied (meta)
iP11Pro,Text-09-bug-type-288-2025-0611.docx,mid,8207,40-width config applied (meta)
iP11Pro,Text-09-bug-type-288-2025-0611.docx,tail,8207,40-width config applied (meta)
iP11Pro,Text-10- bug-type-288-2025-0611-223013.docx,head,8890,40-width config applied (meta)
iP11Pro,Text-10- bug-type-288-2025-0611-223013.docx,mid,8890,40-width config applied (meta)
iP11Pro,Text-10- bug-type-288-2025-0611-223013.docx,tail,8890,40-width config applied (meta)
iP11Pro,Text-12-bug-type-288-2025-0611.docx,head,8219,40-width config applied (meta)
iP11Pro,Text-12-bug-type-288-2025-0611.docx,mid,8219,40-width config applied (meta)
iP11Pro,Text-12-bug-type-288-2025-0611.docx,tail,8219,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs.docx,head,14566,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs.docx,mid,14566,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs.docx,tail,14566,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs-2.docx,head,12073,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs-2.docx,mid,12073,40-width config applied (meta)
iP12mini-1,2025-06-11-Analytics-Logs-2.docx,tail,12073,40-width config applied (meta)
MyViettel-Tajima,_____________csv__preview_.csv,head,445,40-width config applied (meta)
MyViettel-Tajima,_____________csv__preview_.csv,mid,445,40-width config applied (meta)
MyViettel-Tajima,_____________csv__preview_.csv,tail,445,40-width config applied (meta)
MyViettel-Tajima,viettel_bundle_analysis_report.txt,head,458,40-width config applied (meta)
MyViettel-Tajima,viettel_bundle_analysis_report.txt,mid,458,40-width config applied (meta)
MyViettel-Tajima,viettel_bundle_analysis_report.txt,tail,458,40-width config applied (meta)
MyViettel-Tajima,____________.csv,head,445,40-width config applied (meta)
MyViettel-Tajima,____________.csv,mid,445,40-width config applied (meta)
MyViettel-Tajima,____________.csv,tail,445,40-width config applied (meta)
MyViettel-Tajima,history_search.txt,head,68,40-width config applied (meta)
MyViettel-Tajima,history_search.txt,mid,68,40-width config applied (meta)
MyViettel-Tajima,history_search.txt,tail,68,40-width config applied (meta)
MyViettel-Tajima,viettel.der,head,1214,40-width config applied (meta)
MyViettel-Tajima,viettel.der,mid,1214,40-width config applied (meta)
MyViettel-Tajima,viettel.der,tail,1214,40-width config applied (meta)
MyViettel-Tajima,viettel.zip,head,1010,40-width config applied (meta)
MyViettel-Tajima,viettel.zip,mid,1010,40-width config applied (meta)
MyViettel-Tajima,viettel.zip,tail,1010,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,head,6804,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,mid,6804,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,tail,6804,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",head,48602,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",mid,75109,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",tail,50777,40-width config applied (meta)
MyViettel-Friend,"{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",head,7533,40-width config applied (meta)
MyViettel-Friend,"{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",mid,7533,40-width config applied (meta)
MyViettel-Friend,"{.-[],.84372503446.-[],.84368154682.-[],.0368154682.-[],.0372503446….pdf",tail,7533,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,head,6804,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,mid,6804,40-width config applied (meta)
MyViettel-Friend,{.84368154682.-[]}.pdf,tail,6804,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",head,48602,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",mid,75109,40-width config applied (meta)
MyViettel-Friend,"{.message.-.Successful.,.data.-[{.confirm_reg.-.Quý khách muốn đăng….pdf",tail,50777,40-width config applied (meta)
MyViettel-Friend,AudioClientLifeBOX.zip,head,204,40-width config applied (meta)
MyViettel-Friend,AudioClientLifeBOX.zip,mid,204,40-width config applied (meta)
MyViettel-Friend,AudioClientLifeBOX.zip,tail,204,40-width config applied (meta)
MyViettel-Friend,DocumentClientLifeBOX.zip,head,210,40-width config applied (meta)
MyViettel-Friend,DocumentClientLifeBOX.zip,mid,210,40-width config applied (meta)
MyViettel-Friend,DocumentClientLifeBOX.zip,tail,210,40-width config applied (meta)
MyViettel-Friend,Media.zip,head,159,40-width config applied (meta)
MyViettel-Friend,Media.zip,mid,159,40-width config applied (meta)
MyViettel-Friend,Media.zip,tail,159,40-width config applied (meta)
MyViettel-Friend,My-Viettel-App-MDM.pdf,head,53733,40-width config applied (meta)
MyViettel-Friend,My-Viettel-App-MDM.pdf,mid,74521,40-width config applied (meta)
MyViettel-Friend,My-Viettel-App-MDM.pdf,tail,73923,40-width config applied (meta)
MyViettel-Friend,steChat.data,head,61403,40-width config applied (meta)
MyViettel-Friend,steChat.data,mid,61403,40-width config applied (meta)
MyViettel-Friend,steChat.data,tail,61403,40-width config applied (meta)
MyViettel-Friend,viettel.der,head,1214,40-width config applied (meta)
MyViettel-Friend,viettel.der,mid,1214,40-width config applied (meta)
MyViettel-Friend,viettel.der,tail,1214,40-width config applied (meta)
iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,head,10747,40-width config applied (meta)
iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,mid,10747,40-width config applied (meta)
iP15P-Ghost,2025-06-11-bug-type-202-duration.docx,tail,10747,40-width config applied (meta)
